asset,event_id,event_title,source_sheet,panel,source_kind,creator,credit,sha256
aubm_v4_continental_state,9280000,Compatibility Review: V4 Campaign State,tools/art_sources/v4_events/sheet_01_foundation.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,bcb7f72560927632f93e82f5d8cf13144cc2739dc5f23e75feeadd80673a386b
aubm_v4_forward_basing,9280158,Wartime Forward-Basing Protocol,tools/art_sources/v4_events/sheet_09_operational_survival.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,b98092c368a67fc1bddba948497db195a6f625a63eccb9a24ab8a0f9c67ad29a
aubm_v4_command_rotation,9280159,The Subordinate Command Rotation,tools/art_sources/v4_events/sheet_09_operational_survival.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,e54c447b9cce5955c4192bfb6a6c380722e9dd727564a3c0587b2fb2ce2bdc4f
aubm_v4_second_command_board,9280160,The Second Command Board,tools/art_sources/v4_events/sheet_10_command_and_organization.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,76dabf60dbfd01d339be6bc88754654bad76ce6bebdf1db95e903741df04925a
aubm_v4_combat_command_board,9280161,The Combat Command Board,tools/art_sources/v4_events/sheet_10_command_and_organization.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,92cc54ee336a5d047a9fd1e36e272c59f0d9626eaaff42c92491d3fae94505d0
india_v3_armed_forces,9280162,The First Operational Air Group,tools/art_sources/v4_events/sheet_20_core_event_art.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,1db384d24ce0db4bdbce41a94ed7b76caf31ee3cce81dd1e031c49dd8bd0954b
aubm_v4_standard_toe,9280200,Standard Tables of Organization,tools/art_sources/v4_events/sheet_10_command_and_organization.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,489eb1cf5d0288932be7a6a506b8cadd7a3b297d2653730b36efb60b588691e4
aubm_v4_four_wing_standard,9280201,The Four-Wing Group Standard,tools/art_sources/v4_events/sheet_10_command_and_organization.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,9a4a7427a875aad181001380bb51b4583a90ef1e017f5a4b24daefcb7d34453e
aubm_v4_fleet_tactical_units,9280202,Fleet Tactical Units,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,aa269d504417c8bc3051af140855d4bc133ad1a9a2ac4536592e2e8c4f46ad5c
aubm_v4_joint_replacement_pool,9280203,Create a Joint Replacement Pool,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,be1fb0dddc43f4faaa3c1bd436dcee0d2750d00914b3904d73189556336ba1bc
aubm_v4_league_of_nations,9280300,India at the League of Nations,tools/art_sources/v4_events/sheet_06_storm_and_diplomacy.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,95678b0911cb9582fc0241e9b0358ee3e65278f6516034b783cc510964b13b7f
aubm_v4_london_settlement,9280301,The London Settlement,tools/art_sources/v4_events/sheet_06_storm_and_diplomacy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,86e8863c070c7216efc1281220051a2bac0903100d780bb569640f2910416035
aubm_v4_foreign_expertise,9280302,"Washington, Moscow and the Price of Expertise",tools/art_sources/v4_events/sheet_07_expertise_and_command.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,90032a3f4246b7ddd337c37f7edbf8a0438731c6d2e9a1942ff2d3f03731dbda
aubm_v4_tokyo_proposition,9280303,Tokyo's Asian Proposition,tools/art_sources/v4_events/sheet_07_expertise_and_command.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,72f1dd36f61134db42094e1fc512827c4a813776ca4c3933b80d7ed1c8e9e4f9
aubm_v4_budget_conference,9280310,Present the Union Budget,tools/art_sources/v4_events/sheet_13_campaign_finance.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,bc61fc9bedce5c3b447f793de4920cf9fd7029c14887170993cfb9497ab3ea8e
aubm_v4_union_budget_choices,9280311,The Union Budget,tools/art_sources/v4_events/sheet_13_campaign_finance.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,d10cac4485b42fce7d756b415b642dc5d3617c550eb7e14640eefe1ae9c27276
aubm_v4_next_budget_year,9280312,The Next Budget Year,tools/art_sources/v4_events/sheet_13_campaign_finance.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ea6448f96f3a8ec41b4e1b94fe168e5adabab1a9add5f92192b5f3b52c5ddae2
aubm_v4_retire_development_debt,9280313,Retire Development Debt,tools/art_sources/v4_events/sheet_13_campaign_finance.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,8cf7f1faa1b3ca04d1c432b20884f7a82919fcfd9ccec85b1ee17c52d46aeee3
aubm_v4_economy_full_stretch,9280314,The Economy at Full Stretch,tools/art_sources/v4_events/sheet_14_growth_and_islands.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,742e9274ab9de0c9fa66ddece002fd69845b2f617ecd64e6532cc8c1e3be3b12
aubm_v4_inherited_archives,9280315,Compatibility Review: Service Archives,tools/art_sources/v4_events/sheet_14_growth_and_islands.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,8c178638792f04d171c79f800728611682df371f799f1d02e93a21d3453dffd8
aubm_v4_budget_conference,9280316,The All-India Revenue Service,tools/art_sources/v4_events/sheet_13_campaign_finance.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,bc61fc9bedce5c3b447f793de4920cf9fd7029c14887170993cfb9497ab3ea8e
aubm_v4_island_base_stage_one,9280320,The Island Base Network,tools/art_sources/v4_events/sheet_14_growth_and_islands.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,7d4f0cbaa250f4bb1088b9c41f476baa4c0d5a35db301d675eef33517df14c4f
aubm_v4_island_base_stage_two,9280321,Blue-Water Island Stations,tools/art_sources/v4_events/sheet_14_growth_and_islands.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,b9fbcffe085bc007eb950e6188a8286550c3236fbaa4778fcd5a0b921c97f080
aubm_v4_china_war_deepens,9280350,The China War Deepens,tools/art_sources/v4_events/sheet_15_china_and_burma.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,9176c778d305212cdd37fef530913600086995a88090edf9f2fa88990645e948
aubm_v4_burma_road_refugees,9280351,Refugees on the Burma Road,tools/art_sources/v4_events/sheet_15_china_and_burma.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,b1a59fb615fea723ac88e10644b0bb8dcc7cb8c926f2b2b914cff768eba273af
aubm_v4_bangkok_chooses_war,9280352,Bangkok Chooses Its War,tools/art_sources/v4_events/sheet_15_china_and_burma.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,0dcdfb0a22603740e4c24e7ae43465ed3da85a8a13194df323d76cf7ea5b0a62
aubm_v4_china_interior,9280353,China Fights from the Interior,tools/art_sources/v4_events/sheet_15_china_and_burma.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,deb68ee9f738372c48688beba899547de37c3885d2ab8e588099c663d4629f00
aubm_v4_indian_ocean_war,9280354,War Closes the Indian Ocean,tools/art_sources/v4_events/sheet_16_widening_war.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,e1e9ab13cb5292b686709d4fbbba4a7616b29efeb8b9ab14822709c78800ce7a
aubm_v4_barbarossa_reaction,9280355,Germany Invades the Soviet Union,tools/art_sources/v4_events/sheet_16_widening_war.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ce8aeb1b02e67aa832862bdfc36363cae6c3888ff6a5e6c38885fecdf2a9e098
aubm_v4_japan_southern_choice,9280356,Japan's Southern Choice,tools/art_sources/v4_events/sheet_16_widening_war.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,c95e2eeb0f1e20a7737771a3dd7b4645705efbb0571ee377ce418f285d17cbba
aubm_v4_malaya_burma_conference,9280357,The Burma-Malaya Defence Talks,tools/art_sources/v4_events/sheet_16_widening_war.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,f29fb62e623d2ea96f94916fee6d7ffa40f3b57048346caa06b075be015ce3a7
aubm_v4_india_world_war,9280358,India in a World at War,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_wartime_social_contract,9280359,The Wartime Social Contract,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,e29ccad7574613bfa4c9ab11f5d079bb696577984a310b8962123b2d45f36673
aubm_v4_war_aims,9280400,India Defines Its War Aims,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ad2affc4805fb9ea472b0af3f1803143f91c1df0debf40e693a9d9bca6c57ecd
aubm_v4_liberated_territory,9280401,The Administration of Liberated Territory,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,194d89904a5386e96226fe9fcaaf737148f9d9424126be843ffc5a7af2793bf3
aubm_v4_soldiers_return,9280402,The Soldiers Return,tools/art_sources/v4_events/sheet_12_return_and_v3_priority.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,19fc7c11c6ecbd19ea9fd48e51ff74b49b8a81fcb4f580f739cef4f6c65658f8
aubm_v4_india_world_war,9280403,The 1943 War Effort Review,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_war_aims,9280404,India at the Peace Table,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ad2affc4805fb9ea472b0af3f1803143f91c1df0debf40e693a9d9bca6c57ecd
aubm_v4_war_aims,9280405,A Limited Seat at the Settlement,tools/art_sources/v4_events/sheet_11_fleet_and_war_aims.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,ad2affc4805fb9ea472b0af3f1803143f91c1df0debf40e693a9d9bca6c57ecd
aubm_v4_strategic_council,9280500,Convene the Strategic Council,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,f5d697223bee601f74531b803e690c08983fb6783de9c17e01d4d65430800eef
aubm_v4_grand_strategy,9280501,The Strategic Council of India,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,560bca56a53bbd64186d473a1a86b7253b04390b911f274a75218d9edd7290f4
aubm_v4_asian_strategy_menu,9280502,Alternatives to the Great-Power Blocs,tools/art_sources/v4_events/sheet_18_asian_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,3343af494faf5e348550658b6d798aa3091bd49d83868585791b574b54caf6bf
aubm_v4_strategic_council_returns,9280503,The Strategic Review Window Reopens,tools/art_sources/v4_events/sheet_18_asian_strategy.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,a925d6ae79477dafc2052bf49d5e1304ef2f63243d6ac0d5b8771e41e0ff44c5
aubm_v4_strategic_council,9280510,Review India's Level of Commitment,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,3,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,f5d697223bee601f74531b803e690c08983fb6783de9c17e01d4d65430800eef
aubm_v4_grand_strategy,9280511,The Measure of Commitment,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,560bca56a53bbd64186d473a1a86b7253b04390b911f274a75218d9edd7290f4
aubm_v4_strategic_council_returns,9280512,The Commitment Review Reopens,tools/art_sources/v4_events/sheet_18_asian_strategy.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,a925d6ae79477dafc2052bf49d5e1304ef2f63243d6ac0d5b8771e41e0ff44c5
aubm_v4_london_settlement,9280520,A Sovereign Mission to London,tools/art_sources/v4_events/sheet_06_storm_and_diplomacy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,86e8863c070c7216efc1281220051a2bac0903100d780bb569640f2910416035
aubm_v4_grand_strategy,9280521,The Continental Mission,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,560bca56a53bbd64186d473a1a86b7253b04390b911f274a75218d9edd7290f4
aubm_v4_grand_strategy,9280522,The Moscow Technical Compact,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,4,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,560bca56a53bbd64186d473a1a86b7253b04390b911f274a75218d9edd7290f4
aubm_v4_tokyo_proposition,9280523,"Delhi and Tokyo, Without Berlin",tools/art_sources/v4_events/sheet_07_expertise_and_command.png,2,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,72f1dd36f61134db42094e1fc512827c4a813776ca4c3933b80d7ed1c8e9e4f9
aubm_v4_asian_strategy_menu,9280524,The Delhi Conference of Asian States,tools/art_sources/v4_events/sheet_18_asian_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,3343af494faf5e348550658b6d798aa3091bd49d83868585791b574b54caf6bf
aubm_v4_india_world_war,9280530,India's Allied War Plan,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280531,India's Continental War Plan,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280532,India's Socialist War Plan,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280533,India's Independent Asian War Plan,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280534,War Without a Patron,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280540,India Becomes a Decisive Belligerent,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
aubm_v4_india_world_war,9280541,The Price of Staying Outside,tools/art_sources/v4_events/sheet_17_wartime_strategy.png,1,generated alternate-history reconstruction,OpenAI image generation,Original AI-assisted reconstruction created for A Union Before Midnight; not an archival photograph,5a51f0378768da3aab125bf945a6b7167558a260070054ef6bb37a3ab6cd2aa3
